siteID,xcoord,ycoord,mdcaty,wgt,stratum,panel,EvalStatus,EvalReason,Mean Percent Cover,Mean Canopy Gap Size m,Mean Basal Gap Size m,Mean Canopy Gap Percent,Mean Basal Gap Percent
MOJN0JOTR0YUBR-151,576346,3761671,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-152,576684,3766513,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-153,587520,3750758,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-154,583002,3765034,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-155,581930,3754693,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-156,567539,3767955,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-157,583718,3766029,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-158,583832,3761575,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-159,572994,3769018,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-160,561884,3767591,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-161,588106,3747649,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-162,585399,3758594,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-163,581403,3764671,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-164,574380,3767918,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-165,584919,3754459,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-166,590563,3764591,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-167,571260,3760762,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-168,563086,3763115,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-169,554092,3770655,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-170,584613,3762684,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-171,575999,3758233,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-172,571040,3769522,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-173,584736,3758969,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-174,578368,3761337,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-175,575856,3770056,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-176,562045,3768469,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-177,589927,3746222,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-178,587961,3759258,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-179,576632,3764804,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-180,576279,3766405,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-181,589037,3752606,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-182,590631,3763846,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-183,577868,3759562,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-184,563324,3764473,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-185,558842,3769608,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-186,583777,3764391,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-187,574716,3759126,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-188,570292,3767187,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-189,582176,3756974,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-190,577884,3762156,PR,5194778.505,None,OverSamp,NotEval,,,,,,
